timestamp,mse,threshold,status
1774379721.8071914,12096.191159,2.520791,ANOMALIE
1774379721.8941197,8703.116113,2.520791,ANOMALIE
1774379721.9928458,7737.882861,2.520791,ANOMALIE
1774379722.071064,6459.166075,2.520791,ANOMALIE
1774379722.1703506,7434.975966,2.520791,ANOMALIE
1774379722.2458808,7519.078187,2.520791,ANOMALIE
1774379722.3694375,7520.280362,2.520791,ANOMALIE
1774379722.4547675,8774.551975,2.520791,ANOMALIE
1774379722.5498693,8774.813185,2.520791,ANOMALIE
1774379722.6688268,8774.367822,2.520791,ANOMALIE
1774379722.7606463,10028.937072,2.520791,ANOMALIE
1774379722.854616,14725.665923,2.520791,ANOMALIE
1774379722.9473608,9944.354197,2.520791,ANOMALIE
1774379723.039672,10929.534334,2.520791,ANOMALIE
1774379723.1150794,8546.265129,2.520791,ANOMALIE
1774379723.2037141,8570.823194,2.520791,ANOMALIE
1774379723.2726645,8771.268707,2.520791,ANOMALIE
1774379723.3434596,9541.360327,2.520791,ANOMALIE
1774379723.4168088,7486.082735,2.520791,ANOMALIE
1774379723.4947462,7516.717071,2.520791,ANOMALIE
1774379723.5711093,8056.709055,2.520791,ANOMALIE
1774379723.6632788,7459.005336,2.520791,ANOMALIE
1774379723.7553344,6273.582591,2.520791,ANOMALIE
1774379723.8914711,7414.644629,2.520791,ANOMALIE
1774379723.995141,8753.371543,2.520791,ANOMALIE
1774379724.287346,9374.819964,2.520791,ANOMALIE
1774379724.406397,6442.400333,2.520791,ANOMALIE
1774379724.5089726,6448.010944,2.520791,ANOMALIE
1774379724.5995955,6170.376242,2.520791,ANOMALIE
1774379724.7159,5098.793118,2.520791,ANOMALIE
1774379724.8122253,5001.474989,2.520791,ANOMALIE
1774379724.905855,3834.344316,2.520791,ANOMALIE
1774379724.9786713,3587.128204,2.520791,ANOMALIE
1774379725.055397,2368.336528,2.520791,ANOMALIE
1774379725.1470122,2460.688805,2.520791,ANOMALIE
1774379725.2427123,2579.815588,2.520791,ANOMALIE
1774379725.3480852,2604.121757,2.520791,ANOMALIE
1774379725.4429598,2457.964877,2.520791,ANOMALIE
1774379725.5277455,1280.873741,2.520791,ANOMALIE
1774379725.7088163,1281.496452,2.520791,ANOMALIE
1774379725.8008676,2460.688975,2.520791,ANOMALIE
1774379725.902031,2579.817431,2.520791,ANOMALIE
1774379725.9744294,3661.987903,2.520791,ANOMALIE
1774379726.094783,5080.978458,2.520791,ANOMALIE
1774379726.170825,5002.589,2.520791,ANOMALIE
1774379726.233922,6254.91202,2.520791,ANOMALIE
1774379726.3542962,7508.437138,2.520791,ANOMALIE
1774379726.4389846,10155.391595,2.520791,ANOMALIE
1774379726.5552142,7688.113219,2.520791,ANOMALIE
1774379726.6295311,8706.235524,2.520791,ANOMALIE
1774379726.706194,8775.170222,2.520791,ANOMALIE
1774379726.8038304,10027.461583,2.520791,ANOMALIE
1774379726.8964875,11968.945888,2.520791,ANOMALIE
1774379726.9929118,7663.755466,2.520791,ANOMALIE
1774379727.1104283,7469.342564,2.520791,ANOMALIE
1774379727.2086937,7522.185004,2.520791,ANOMALIE
1774379727.279887,8221.226029,2.520791,ANOMALIE
1774379727.3840594,7456.53399,2.520791,ANOMALIE
1774379727.4853127,7969.189333,2.520791,ANOMALIE
1774379727.586483,7462.714889,2.520791,ANOMALIE
1774379727.6700923,6358.892977,2.520791,ANOMALIE
1774379727.764452,6190.13232,2.520791,ANOMALIE
1774379727.8802242,6335.732122,2.520791,ANOMALIE
1774379727.9838333,7402.432422,2.520791,ANOMALIE
